epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4779.49,1.04549,1.80742,0.87356,1.23715,0.88777,0.85531,0.92248,0.6686,0.88915,0.85331,0.921,0.56056,0.99607,1.64611,0.74888,1.28335,0.000951748,0.000951748,0.000951748
30,4941.46,1.03573,1.78834,0.86229,1.23794,0.87326,0.85394,0.92538,0.66354,0.87926,0.85605,0.9229,0.5651,1.03364,1.62267,0.73161,1.30573,0.000934704,0.000934704,0.000934704
31,5104.61,1.01902,1.77544,0.83589,1.22052,0.9135,0.8597,0.9338,0.6629,0.90532,0.86421,0.93341,0.55699,1.02415,1.66135,0.71383,1.30979,0.000917659,0.000917659,0.000917659
32,5267.2,1.03245,1.78662,0.84461,1.23861,0.88437,0.85536,0.92507,0.66496,0.89013,0.86128,0.9251,0.56806,1.01818,1.59283,0.75488,1.30478,0.000900614,0.000900614,0.000900614
33,5430.94,1.0073,1.74664,0.8105,1.2101,0.90512,0.84791,0.92776,0.66837,0.90837,0.85011,0.93198,0.56374,1.01296,1.67761,0.6981,1.29635,0.00088357,0.00088357,0.00088357
34,5596.21,0.99019,1.73945,0.81336,1.20464,0.91004,0.88778,0.94789,0.68476,0.91185,0.88636,0.94284,0.58142,0.98281,1.56637,0.65275,1.27294,0.000866525,0.000866525,0.000866525
35,5763.19,0.98946,1.73005,0.78978,1.20534,0.91998,0.88323,0.9488,0.69332,0.91095,0.88707,0.94846,0.58632,0.97361,1.56251,0.65258,1.25525,0.00084948,0.00084948,0.00084948
36,5930.09,0.98748,1.71581,0.77801,1.19865,0.9139,0.87418,0.9434,0.68924,0.91896,0.87996,0.94178,0.57908,0.95342,1.55873,0.64146,1.27021,0.000832436,0.000832436,0.000832436
37,6093.35,0.97526,1.6953,0.75473,1.19557,0.92127,0.88508,0.94588,0.69614,0.925,0.88728,0.94396,0.59632,0.98821,1.5613,0.64088,1.27399,0.000815391,0.000815391,0.000815391
38,6259.76,0.97159,1.67882,0.76117,1.19635,0.92057,0.8821,0.95732,0.70494,0.92935,0.87489,0.9507,0.59925,0.96602,1.53093,0.60902,1.24638,0.000798346,0.000798346,0.000798346
39,6423.91,0.96417,1.67662,0.74236,1.19001,0.93787,0.89323,0.96063,0.71275,0.94219,0.8972,0.95825,0.59634,0.94837,1.53374,0.60768,1.2405,0.000781301,0.000781301,0.000781301
40,6588.65,0.96164,1.64796,0.74334,1.18536,0.92262,0.89929,0.95665,0.69693,0.92299,0.90792,0.95615,0.58733,0.97704,1.53596,0.5976,1.28507,0.000764257,0.000764257,0.000764257
41,6751.08,0.95327,1.66497,0.73172,1.18085,0.91592,0.9004,0.96169,0.71706,0.91606,0.89982,0.95493,0.58595,0.93131,1.54913,0.58864,1.22233,0.000747212,0.000747212,0.000747212
42,6915.43,0.94986,1.64213,0.72047,1.17647,0.93919,0.89,0.95974,0.71175,0.9395,0.89172,0.95075,0.60684,0.94901,1.51697,0.59869,1.22836,0.000730167,0.000730167,0.000730167
43,7080.04,0.92082,1.62727,0.69434,1.16007,0.94687,0.90411,0.96283,0.72643,0.94533,0.90288,0.95517,0.60874,0.93871,1.52496,0.5796,1.22373,0.000713123,0.000713123,0.000713123
44,7245.26,0.9223,1.61069,0.686,1.16155,0.93542,0.92018,0.96853,0.72132,0.93174,0.91674,0.96541,0.61888,0.94022,1.48165,0.55919,1.2327,0.000696078,0.000696078,0.000696078
